noticia_link_1,noticia_headline_1,noticia_bajada_1,noticia_antetitulo_1,noticia_cuerpo_1,noticia_dia_1,noticia_etiquetas_1,noticia_entidad_1,noticia_link_2,noticia_headline_2,noticia_bajada_2,noticia_antetitulo_2,noticia_cuerpo_2,noticia_dia_2,noticia_etiquetas_2,noticia_entidad_2
https://peru21.pe/espectaculos/internacional/roma-alfonso-cuaron-llevo-leon-oro-festival-cine-venecia-nndc-426717-noticia/,alfonso cuaron llevo leon oro festival cine venecia,director mexicano sustituye triunfador mostra compatriota guillermo toro,Espectáculos Internacional,roma pelicula dirigida mexicano alfonso cuaron distribuida netflix llevo hoy leon oro edicion festival cine venecia alfonso cuaron sustituye triunfador mostra compatriota guillermo toro dejadme ver si pronunciar correctamente nombre bromeo toro anunciar premio visiblemente emocionado alfonso cuaron recogio leon oro manos paolo baratta presidente biennale despues acerco guillermo toro fundio abrazo premios festival increibles dijo italiano alfonso cuaron ademas agradecio trabajo equipo pelicula netflix permitir hiciera filme alfonso cuaron dedico premio yalitza aparicio marina tavira nancy garcia protagonistas filme valor generosidad inmenso respeto mujeres interpretaron roma alfonso cuaron narra historia cleo criada indigena familia burguesa aparentemente idilica ciudad mexico inicios decada personaje basado tata mismo dedica cinta libo historia intercalan español lengua mixteca director gravity ofrece relato social aquella decada convulsa papel cleo cineasta recurrio yalitza aparicio profesora debuta cine igual nancy garcia hace hermana niñera efe,2018-09-08,"Festival de Venecia, Alfonso Cuarón",Peru21,https://elcomercio.pe/luces/cine/roma-mexico-alfonso-cuaron-llevo-leon-oro-festival-cine-venecia-nndc-noticia-555382-noticia/,festival venecia alfonso cuaron llevo leon oro roma,director mexicano sustituye triunfador mostra compatriota guillermo toro,Cine,roma pelicula dirigida mexicano alfonso cuaron distribuida netflix llevo sabado leon oro edicion festival cine venecia alfonso cuaron sustituye triunfador mostra compatriota guillermo toro dejadme ver si pronunciar correctamente nombre bromeo toro anunciar premio visiblemente emocionado alfonso cuaron recogio leon oro manos paolo baratta presidente biennale despues acerco guillermo toro fundio abrazo premios festival increibles dijo italiano cineasta ademas agradecio trabajo equipo pelicula netflix permitir hiciera filme alfonso cuaron dedico premio yalitza aparicio marina tavira nancy garcia protagonistas filme valor generosidad inmenso respeto mujeres interpretaron roma director narra historia cleo criada indigena familia burguesa aparentemente idilica ciudad mexico inicios decada personaje basado tata mismo dedica cinta libo historia intercalan español lengua mixteca director gravity ofrece relato social aquella decada convulsa papel cleo cineasta recurrio yalitza aparicio profesora debuta cine igual nancy garcia hace hermana niñera,2018-09-08,"Festival de Venecia, Alfonso Cuarón, México, Roma",Comercio
https://peru21.pe/espectaculos/casa-papel-profesor-anuncio-llegada-peru-video-425213-noticia/,profesor casa papel llega peru video promociona,imitador chileno sorprendio fanaticos haciendo alvaro morte interpreta personaje profesor casa papel,Espectáculos,series mas comentadas ultimos meses casa papel historia personajes gran acogida usuarios netflix mas importantes duda profesor curiosa publicacion facebook volvio viral promocionaba integrante aclamada visita peru cierto hola profesor hoy parte puñetero plan cruzar pie toda montaña llegar lima peru dice personaje trataba actor original sino chileno sebastian puga conocido imitador profesor sudamerica friki festival desarrollara peru puga cosplayers invitados tambien estara roberto garcia actor da vida oslo casa papel varios fanaticos serie pensaban realidad trata alvaro morte verdadero actor profesor tan bien hace,2018-09-02,"La casa de Papel, netflix",Peru21,https://diariocorreo.pe/espectaculos/casa-de-papel-imitador-el-profesor-llega-lima-setiembre-video-839405/,casa papel imitador profesor anuncia llegada lima video,imitador chileno estara junto oslo lima tres dias,Espectáculos,tras exito serie netflix casa papel varios paises latinoamerica imitador personaje profesor anuncio llegada pais setiembre sebastian puga imita profesor interpretado actor español alvaro morte explico participara friki festival tendra lugar plaza norte imitador chileno conto estara junto oslo atracadores serie dias setiembre sorpresa fans peruanos serie española foto instagram,2018-09-01,"Alvaro Morte, La Casa de Papel, El profesor",Correo
https://peru21.pe/espectaculos/internacional/house-of-cards-robin-wright-considera-kevin-spacey-cambiar-fotos-nndc-425125-noticia/,house of cards robin wright apuesta kevin spacey cree puede cambiar fotos,actriz robin writght dio entrevista hablo coestrella serie,Espectáculos Internacional,robin wright cree segundas oportunidades entrevista net porter actriz considero kevin spacey puede continuar carrera luego acusaciones agresion sexual creo cada ser humano capacidad reformarse señalo robin wright esposo serie dramatica estrella serie house of cards considera spacey igual todas personas puede crecer cambiar actitudes asimismo entrevista robin wright apeno kevin spacey pues molesta industria exista vida privada creo vida deberia ser personal positivo negativo neutral creo deba ser asunto nadie hablando movimiento metoo hablando medios exposicion recordemos serie house of cards finalizara sexta ultima temporada netflix aunque ultimos capitulos suspenso denuncias agresion sexual kevin spacey,2018-09-01,"Kevin Spacey, Robin Wright, House of Cards",Peru21,https://elcomercio.pe/tvmas/series/house-of-cards-robin-wright-considera-aque-kevin-spacey-cambiar-fotos-noticia-nndc-552923-noticia/,robin wright considera kevin spacey merece segunda oportunidad,actriz house of cards hablo ex compañero serie situacion tras acusaciones agresion sexual,Series,robin wright cree segundas oportunidades entrevista net porter actriz considero kevin spacey puede continuar carrera luego acusaciones agresion sexual creo cada ser humano capacidad reformarse señalo robin wright esposo serie dramatica house of cards estrella considera spacey igual todas personas puede crecer cambiar actitudes asimismo entrevista robin wright apeno kevin spacey pues molesta industria exista vida privada creo vida deberia ser personal positivo negativo neutral creo deba ser asunto nadie hablando movimiento metoo hablando medios exposicion recordemos serie house of cards finalizara sexta ultima temporada netflix acusaciones provocaron plataforma streaming productora house of cards suspendiera rodaje serie despidiera actor cinco temporadas interpreto francis underwood comenzo congresista acabar presidente unidos,2018-09-01,"House of Cards, Kevin Spacey, Robin Wright",Comercio
https://diariocorreo.pe/espectaculos/revelan-el-ultimo-trailer-de-house-cards-y-confirman-la-muerte-de-francis-underwood-video-840206/,revelan ultimo trailer house of cards confirman muerte francis underwood video,adelanto confirmo separacion spacey serie netflix,Espectáculos,tan solo dos meses estreno ultima temporada house of cards netflix acaba lanzar trailer final serie revela muerte francis underwood personaje ficcion interpretado kevin space recuerda actor estadounidense separado produccion original netflix debido escandalo acusaciones acoso sexual nuevo adelanto serie confirmo sucedera francis mientras claire underwood personaje interpretado robin wright aparece tumba esposo dire francis entierren sera patio trasero presenten respetos tendran hacer fila dice claire underwood esposa ex presidente presidenta unidos ficcion mostramos nuevo trailer aqui you should have known house of cards houseofcards septiembre,2018-09-05,"Netflix, house of cards, Kevin Spacey",Correo,https://peru21.pe/espectaculos/internacional/house-of-cards-presenta-nuevo-adelanto-revela-sucedera-frank-underwood-video-nndc-425917-noticia/,paso frank underwood adelanto house of cards revela destino personaje video,traves redes sociales serie presento nuevo avance deja descubierto sucedera sexta temporada exitosa produccion netflix personaje interpreto kevin spacey,Espectáculos Internacional,falta estreno nueva temporada house of cards proximo noviembre deja sorprender serie presento nuevo adelanto redes sociales causara asombro dar giro inesperado temporada house of cards estara marcada ausencia kevin spacey separado produccion debido escandalo acusaciones acoso sexual promete ser diferente visto plataforma digital netflix tomo decision retirar proyecto protagonista serie dejando gran incertidumbre fieles seguidores personaje sabia sucederia frank underwood personaje interpretaba kevin spacey mediante nuevo adelanto vera suerte echada confirmo sucedera importante rol adelanto compartido redes sociales serie house of cards escucha claire underwood personaje interpretado robin wright esposa frank hablando frente dos lapidas dire francis entierren sera patio trasero presenten respetos tendran hacer fila escucha decir claire mientras plano camara abre descubrir nombre dos tumbas you should have known house of cards houseofcards septiembre ve nombre calvin underwood escrito frank underwood presidente unidos decir papel kevin spacey morira serie recordar sexta ultima temporada house of cards llegara netflix proximo noviembre contara participacion varios rostros nuevos produccion diane lane greg kinnear,2018-09-05,"Kevin Spacey, netflix, House of Cards",Peru21
https://diariocorreo.pe/espectaculos/emma-watson-disfraza-wonder-woman-causa-furor-instagram-foto-841422/,emma watson disfraza wonder woman causa furor instagram foto,popular actriz harry potter sorprendio seguidores posar junto yoda,Espectáculos,emma watson sorprendio seguidores redes sociales disfrazarse superheroina wonder woman proposito proximas celebraciones halloween unidos traves cuenta oficial instagram conocida actriz francesa publico fotografia aparece luciendo tiara heroina dc comics junto persona disfrazada yoda maestro jedi star wars thriller gotico tres personajes femeninos bien dibujados temas profeticos feministas quiero regalar mas clasico espeluznante disfruta si yoda escribio recordada hermione harry potter tambien modelo años causo furor popular red social solo unas horas publicacion alcanzo mas millones gusta,2018-09-12,"wonder woman, Instagram, Emma Watson",Correo,https://peru21.pe/espectaculos/internacional/instagram-luce-emma-watson-disfrazada-wonder-woman-foto-nndc-427600-noticia/,asi luce emma watson disfrazada wonder woman,reconocida actriz puso traje superheroina intepretada gal gadot cintas dc,Espectáculos Internacional,deja sorprender actriz emma watson recordada dar vida hermione granger saga harry potter vuelve cautivar fans divertido atuendo reconocida actriz adelanto celebracion halloween festividades mas esperadas unidos disfrazo superheroina wonder woman disfraz causado conmocion redes traves cuenta instagram actriz emma watson compartio instantanea luce traje heroina dc comics ademas luce acompañada maestro yoda star wars thriller gotico tres personajes femeninos bien dibujados temas profeticos feministas quiero regalar mas clasico espeluznante disfrutenlo si yoda escribio emma watson leyenda fotografia ver publicacion instagram sp ky treat the sept oct oursharedshelf members choice winner is rebecca by daphne du maurier it s gothic thriller with three well drawn female characters and some prophetic feminist themes don t want to give anything more away this one s creepy classic enj and yes that is yoda publicacion compartida emma watson emmawatson sep pdt fotografia compartida instagram emma watson superado millon medio gusta solo hora incluso miles comentarios resaltando belleza actriz comentarios tambien resaltan pedidos emma watson sucesora gal gadot cintas wonder woman recordemos hace semanas confirmo emma watson reemplazaria ganadora oscar emma stone cinta mujercitas debido cruce horarios interprete estadounidense participara serie netflix,2018-09-12,"Emma Watson, Instagram",Peru21
https://peru21.pe/espectaculos/internacional/instagram-luce-emma-watson-disfrazada-wonder-woman-foto-nndc-427600-noticia/,asi luce emma watson disfrazada wonder woman,reconocida actriz puso traje superheroina intepretada gal gadot cintas dc,Espectáculos Internacional,deja sorprender actriz emma watson recordada dar vida hermione granger saga harry potter vuelve cautivar fans divertido atuendo reconocida actriz adelanto celebracion halloween festividades mas esperadas unidos disfrazo superheroina wonder woman disfraz causado conmocion redes traves cuenta instagram actriz emma watson compartio instantanea luce traje heroina dc comics ademas luce acompañada maestro yoda star wars thriller gotico tres personajes femeninos bien dibujados temas profeticos feministas quiero regalar mas clasico espeluznante disfrutenlo si yoda escribio emma watson leyenda fotografia ver publicacion instagram sp ky treat the sept oct oursharedshelf members choice winner is rebecca by daphne du maurier it s gothic thriller with three well drawn female characters and some prophetic feminist themes don t want to give anything more away this one s creepy classic enj and yes that is yoda publicacion compartida emma watson emmawatson sep pdt fotografia compartida instagram emma watson superado millon medio gusta solo hora incluso miles comentarios resaltando belleza actriz comentarios tambien resaltan pedidos emma watson sucesora gal gadot cintas wonder woman recordemos hace semanas confirmo emma watson reemplazaria ganadora oscar emma stone cinta mujercitas debido cruce horarios interprete estadounidense participara serie netflix,2018-09-12,"Emma Watson, Instagram",Peru21,https://elcomercio.pe/tvmas/hollywood/instagram-luce-emma-watson-wonder-woman-nndc-noticia-556745-noticia/,instagram emma watson pone disfraz wonder woman sorprende fans,habria pasado si vez gal gadot actriz britanica sumado universo dc fotografia instagram permite hacerte idea,Hollywood,emma watson adelanto celebracion halloween puso disfraz superheroina wonder woman aprecia publicacion instagram generado revuelo seguidores imagen compartida actriz britanica hacer anuncio libro mes habian destacado seguidores our shared shelf plataforma compartida club libros feministas lidera actriz instagram novela elegida rebecca daphne du maurier hacer enfasis trama ex estrella harry potter indico thriller gotico tres personajes femeninos bien dibujados temas profeticos feministas quiero adelantar mas clasico espeluznante disfrutenlo si yoda fotografia compartida instagram emma watson superado millon medio gusta solo hora incluso miles comentarios resaltando belleza actriz comentarios tambien resaltan pedidos emma watson sucesora gal gadot cintas wonder woman recordemos hace semanas confirmo emma watson reemplazaria ganadora oscar emma stone cinta mujercitas debido cruce horarios interprete estadounidense participara serie netflix,2018-09-12,"Instagram, Emma Watson",Comercio
https://elcomercio.pe/tvmas/hollywood/instagram-luce-emma-watson-wonder-woman-nndc-noticia-556745-noticia/,instagram emma watson pone disfraz wonder woman sorprende fans,habria pasado si vez gal gadot actriz britanica sumado universo dc fotografia instagram permite hacerte idea,Hollywood,emma watson adelanto celebracion halloween puso disfraz superheroina wonder woman aprecia publicacion instagram generado revuelo seguidores imagen compartida actriz britanica hacer anuncio libro mes habian destacado seguidores our shared shelf plataforma compartida club libros feministas lidera actriz instagram novela elegida rebecca daphne du maurier hacer enfasis trama ex estrella harry potter indico thriller gotico tres personajes femeninos bien dibujados temas profeticos feministas quiero adelantar mas clasico espeluznante disfrutenlo si yoda fotografia compartida instagram emma watson superado millon medio gusta solo hora incluso miles comentarios resaltando belleza actriz comentarios tambien resaltan pedidos emma watson sucesora gal gadot cintas wonder woman recordemos hace semanas confirmo emma watson reemplazaria ganadora oscar emma stone cinta mujercitas debido cruce horarios interprete estadounidense participara serie netflix,2018-09-12,"Instagram, Emma Watson",Comercio,https://diariocorreo.pe/espectaculos/emma-watson-disfraza-wonder-woman-causa-furor-instagram-foto-841422/,emma watson disfraza wonder woman causa furor instagram foto,popular actriz harry potter sorprendio seguidores posar junto yoda,Espectáculos,emma watson sorprendio seguidores redes sociales disfrazarse superheroina wonder woman proposito proximas celebraciones halloween unidos traves cuenta oficial instagram conocida actriz francesa publico fotografia aparece luciendo tiara heroina dc comics junto persona disfrazada yoda maestro jedi star wars thriller gotico tres personajes femeninos bien dibujados temas profeticos feministas quiero regalar mas clasico espeluznante disfruta si yoda escribio recordada hermione harry potter tambien modelo años causo furor popular red social solo unas horas publicacion alcanzo mas millones gusta,2018-09-12,"wonder woman, Instagram, Emma Watson",Correo
https://peru21.pe/cheka/series/escalofriantes-aventuras-sabrina-nuevo-poster-serie-netflix-nndc-427639-noticia/,escalofriantes aventuras sabrina nuevo poster serie netflix,reboot conocida serie sabrina bruja adolescente estrenara netflix octubre,Series,millones personas mundo vienen esperando ansia estreno reboot popular serie sabrina bruja adolescente recordada serie tendra nuevo inicio netflix tendra nombre escalofriantes aventuras sabrina serie sera estrenada viernes octubre netflix viene generando gran expectativa seguidores imagenes puede ver actriz kiernan shipka sabrina celebrando cumpleaños numero indica sabrina enterara bruja misma edad serie original estrenada cadena television abc sabrina llega octubre netflix foto netflix detalle llama atencion figura demoniaca acerca sabrina parte posterior toda composicion concuerda toda publicidad previa serie señala reboot tendra tono mas sombrio escalofriantes aventuras sabrina participan kiernan shipka michelle gomez lucy davis miranda otto tati gabrielle richard coyle ross lynch chance perdomo cabe recordar episodios primera temporada estaran disponibles netflix octubre,2018-09-12,"netflix, Sabrina",Peru21,https://elcomercio.pe/tvmas/series/netflix-sabrina-mundo-oculto-serie-nndc-noticia-556818-noticia/,netflix revela nuevo afiche mundo oculto sabrina,terrorifica adaptacion sabrina bruja adolescente estrenara netflix octubre,Series,historia sabrina bruja adolescente seguida millones personas finales noventa volvera netflix terrorifica adaptacion llamada mundo oculto sabrina serie sera estrenada viernes octubre netflix viene generando gran expectativa seguidores imagenes puede ver actriz kiernan shipka sabrina celebrando cumpleaños numero indica sabrina enterara bruja misma edad serie original estrenada cadena abc detalle llama atencion figura demoniaca acerca sabrina parte posterior toda composicion concuerda toda publicidad previa serie señala reboot tendra tono mas sombrio mundo oculto sabrina participan kiernan shipka michelle gomez lucy davis miranda otto tati gabrielle richard coyle ross lynch chance perdomo cabe recordar episodios primera temporada estaran disponibles netflix octubre,2018-09-12,"Netflix, Sabrina",Comercio
https://elcomercio.pe/tvmas/series/sabrina-netflix-productor-cambio-salem-perro-noticia-557475-noticia/,sabrina netflix salem querido gato bruja casi cambiado perro,estreno medios estadounidenses revelaron problema pudo afectar desarrollo produccion netflix,Series,chicos veian sabrina bruja adolescente recordaran salem gato negro siempre dispuesto dar consejos ironia parece ser nueva version netflix recordado salem tendra protagonismo punto personaje casi cambia aspecto fundamental nuevo mundo sabrina tan amigable gatos solia ser serie comedia dirigida melissa joan hart conocemos algun momento amamos podriamos culpar actriz kiernan shipka interpretara bruja adolescente cambio pues productor nueva serie roberto aguirre sacasa dijo entertainment weekly actriz alergica gatos algun momento penso cambiar gato perro embargo idea perduro salem seguira gato aunque felino siempre ayudaba sabrina consejos llenos sarcasmo probablemente tendra menos tiempo pantalla anterior version voz nicky bakay dado serie mas oscura anterior puede personaje salem haga extrañar pues nueva version sabrina bruja adolescente sino basado comic componente sobrenatural serio the chilling adventures of sabrina mundo oculto sabrina comienza dias cumpleaños numero bruja dia decidir vida humana magica nueva sabrina llega netflix octubre,2018-09-14,"Netflix, Sabrina",Comercio,https://diariocorreo.pe/miscelanea/salem-pudo-ser-cambiado-por-un-perro-en-la-nueva-serie-de-sabrina-841949/,salem pudo ser cambiado perro nueva serie sabrina,netflix estrenara cinta octubre,Tendencia,casi mes estrena sabrina nueva version netflix principales personajes serie punto formar parte historia salem recordado gato negro querido sarcasmo sentido humor pudo haber reemplazado mejor amigo hombre perro productor roberto aguirre sacasa dijo entertainment weekly nueva actriz alergica gatos algun momento penso cambiar gato perro embargo solucion salem seguira gato aunque felino siempre ayudaba sabrina consejos llenos sarcasmo probablemente tendra menos tiempo pantalla anterior version voz nicky bakay the chilling adventures of sabrina mundo oculto sabrina comienza dias cumpleaños numero bruja dia decidir vida humana magica nueva sabrina llega netflix octubre,2018-09-15,"Netflix, Sabrina la bruja adolescente, SAlem",Correo
https://elcomercio.pe/redes-sociales/facebook/facebook-viral-mesero-muestra-talento-show-servir-vino-recibe-halagos-redes-sociales-turquia-face-fb-fotos-video-nnda-noticia-556840-noticia/,mesero deja boca abierta miles facebook forma descorchar botella vino,video facebook muestra truco empleado mesero descorchar botella vino grabacion registrada turquia,Facebook,restaurante estambul turquia vivio inusual momento video llego facebook tardo volverse viral foto captura restaurante estambul turquia vivio inusual momento video llego facebook tardo volverse viral foto captura restaurante estambul turquia vivio inusual momento video llego facebook tardo volverse viral foto captura restaurante estambul turquia vivio inusual momento video llego facebook tardo volverse viral foto captura restaurante estambul turquia vivio inusual momento video llego facebook tardo volverse viral foto captura restaurante estambul turquia vivio inusual momento video llego facebook tardo volverse viral foto captura restaurante estambul turquia vivio inusual momento video llego facebook tardo volverse viral foto captura reza viejo refran bebe vino come queso llegaras viejo abriendo apetito acompañando mejores comidas vino debe servir mostrado mesero ciudad estambul turquia video volvio viral red social facebook quedado registro mejor presentacion bebida dioses continuacion video dejado sorprendido miles griegos equivocaban antigüedad vino creacion olimpo cambio mas terrenales reconocen vino tiempo mejora mil cosas mas pueden decir vino distintos sabores explica enologia tecnica produccion vino merece mas altas categorias tan selecto variedades hora ser servidos demostrar calidad asi mozo robo show facebook video tardo volverse viral red social mesero restaurante especialidad carnes lucio momento servir vino clientes muestra clip audiovisual convierte show personal forma abrir botella vino mozo presenta propio estilo sacar corcho catar vino paso siguiente probar calidad vino servirle comensales restaurante quedan satisfechos sabor bebida video facebook suma millones reproducciones mil reacciones mil compartidas usuarios red,2018-09-15,"Mesero, Vino, Facebook, Facebook viral",Comercio,https://peru21.pe/redes-sociales/facebook/facebook-viral-mesero-demuestra-mejor-forma-servir-vino-gana-halagos-redes-sociales-turquia-face-fb-fotos-video-427652-noticia/,mesero demuestra mejor forma servir vino turquia video,restaurante estambul turquia vivio inusual momento video llego facebook tardo volverse viral,Facebook,reza viejo refran bebe vino come queso llegaras viejo abriendo apetito acompañando mejores comidas vino debe servir mostrado mesero estambul turquia video volvio viral facebook quedado registro mejor presentacion bebida dioses griegos equivocaban antigüedad vino creacion olimpo cambio mas terrenales reconocen vino tiempo mejora mil cosas mas pueden decir vino distintos sabores explica enologia tecnica produccion vino merece mas altas categorias tan selecto variedades hora ser servidos demostrar calidad asi mozo robo show facebook video tardo volverse viral mesero restaurante especialidad carnes lucio momento servir vino clientes muestra clip audiovisual convierte show personal forma abrir botella vino mozo presenta propio estilo sacar corcho catar vino paso siguiente probar calidad vino servirle comensales restaurante quedan satisfechos sabor bebida video facebook suma millones reproducciones mil reacciones mil compartidas usuarios red,2018-09-12,"Vino, Mesero, Facebook, Facebook viral",Peru21
https://elcomercio.pe/mundo/actualidad/manifestantes-irrumpen-prenden-fuego-consulado-iran-basora-noticia-nndc-555011-noticia/,iraq manifestantes prenden fuego consulado iranen ciudad basora,ataque consulado irani punto inflexion levantamiento vive ciudad petrolerabasora sur iraq julio corrupcion politicos deterioro servicios publicos,Actualidad,crisis social iraq paso viernes nivel incendio consulado irani basora ciudad petrolera sur nueve manifestantes murieron semana obligando parlamento convocar sesion extraordinaria sabado ataque consulado irani supone punto inflexion levantamiento vive basora julio corrupcion politicos deterioro servicios publicos pese riqueza petrolera region respuesta incidentes primer ministro iraqui haider abadi encargo viernes noche fuerzas seguridad actuar manera decisiva frente actos vandalismo acompañaron manifestaciones comunicado mando conjunto operaciones joc evoca medidas seguridad excepcionales judiciales severas prohibe manifestaciones desplazamientos grupo texto detalla obstante disposiciones tomadas cantidad refuerzos desplegados martes manifestantes atacan sedes instituciones publicas residencias responsables publicos asi partidos grupos armados presentes ciudad autoridades decretaron toque queda jueves noche respetado manifestantes viernes ingresaron predio yacimiento petrolero norte basora manifestantes reclaman parte ingresos genera petroleo millones dolares agosto provincia sufrio reciente guerra grupo islamico atraviesa crisis sanitaria precedentes agravada escandalo contaminacion agua llevo hospital personas viernes comenzar noche centenares manifestantes lograron franquear imponente muro rodea consulado irani constato afp vieron inmensas llamas edificio evacuado llegada manifestantes cancilleria iraqui denuncio acto inaceptable daña intereses iraq relaciones internacionales teheran portavoz ministerio relaciones exteriores bahram ghassemi denuncio ataque salvaje segun agencia irani fars ghassemi considero incendio complot destruir relaciones amistad iran iraq gobierno teheran intenta elecciones legislativas mayo influenciar composicion futuro gabinete iraqui bloque pro iran parlamento liderado hadi ameri cabeza lista ex combatientes antiyihadistas reivindica mayoria diputados necesaria formar gobierno abadi aliado moqtada sadr ex jefe milicia convertido adalid manifestaciones anticorrupcion presenta defensor independencia politica bagdad frente washington teheran tambien reivindica mayoria sabado respondiendo llamado sadr abadi ira varios ministros delante parlamento evocar situacion basora martes nueve manifestantes murieron segun mehdi tamimi jefe consejo provincial derechos humanos crisis ocurre momento paralisis politica bagdad tras largos meses llevar cabo recuento votos legislativas mayo lunes parlamento iraqui puso acuerdo elegir presidente sesion inaugural aunque incendio consulado impacte seguramente equilibrio fuerzas expertos señalan asimismo incidentes viernes mañana tres obuses cayeron ultravigilada zona verde bagdad encuentran sedes autoridades iraquies embajada estadounidense ademas oracion semanal viernes representante gran ayatola ali sistani mayor autoridad religiosa chiita pais denuncio nuevamente mal comportamiento altos dirigentes pidio futuro gobierno diferente anteriores negligencia intencionada representante sistani basora visito estaciones distribucion agua asi familias manifestantes muertos constato segun sermon pronunciado nombre ayatola posible esfuerzo dinero disminuir efectos crisis agua segun mehdi tamimi calles basora alzaron respuesta politica gubernamental negligencia intencionada cansados esperar servicios publicos eficaces destitucion dirigentes corruptos habitantes basora reanudaron protestas habian empezado principios julio vieron apaciguadas promesas gobierno invertir millones dolares mejorar situacion contando nueve victimas registradas martes protestas sociales empezaron julio pais dejado muertos hace tiempo advertimos autoridades gobierno primer ministro poner termino sufrimiento habitantes basora aseguro tamimi fuente afp,2018-09-07,"Irán, Iraq, Basora",Comercio,https://peru21.pe/mundo/medio-oriente/manifestantes-irrumpen-prenden-fuego-consulado-iran-basora-nndc-426490-noticia/,manifestantes irrumpen prenden fuego consulado iran basora,momento irrupcion manifestantes habia ningun empleado irani edificio preciso fuente pidio anonimato,Medio Oriente,bagdad irak varios manifestantes irrumpieron hoy consulado iran ciudad iraqui basora prendieron fuego unas protestas convocado hoy quinto dia consecutivo dijo fuente seguridad local momento irrupcion manifestantes habia ningun empleado irani edificio preciso fuente pidio anonimato provincia basora escenario protestas manifestantes demandan mejora suministro agua electricidad asistencia sanitaria dejado menos seis muertos semana medios locales informan lunes manifestantes lanzan cocteles molotov atacan edificios gubernamentales sedes partidos politicos vinculados iran pais acusan intervenir vida politica incluso culpan cortar suministro agua basora informacion efe video of basra in southern iraq showing protesters storming torching what is said to be iran s consulate basraprotests farmandehmehrdad farmandemehrdad septiembre,2018-09-07,"Irán, Irak",Peru21
https://peru21.pe/mundo/nueva-york-reabren-estacion-metro-destruida-atentados-11-s-nndc-426887-noticia/,nueva york reabren estacion metro destruida atentados s,estacion cortlandt street quedo sepultada escombros edificios world trade center vinieron abajo despues ser impactados aviones secuestrados qaeda,Mundo,estacion metro nueva york unidos completamente destruida atentados septiembre reabierta fin semana dias decimo septimo aniversario tragico ataque torres gemelas estacion cortlandt street quedo sepultada escombros edificios workd trade center vinieron abajo despues ser impactados aviones secuestrados qaeda medio aplausos gritos alegria neoyorquinos pudieron utilizar primera vez aquel septiembre estacion rebautizada wtc cortlandt wtc cortlandt mas estacion metro afirmo joe lhota presidente autoridad transporte metropolitano entidad comenzo reconstruccion segun diario the times simbolo determinacion neoyorquinos rehacer vida mejorar lugar world trade center conjunto finalizo atentados causaron muerte cerca mil personas mayoria manhattan derivaron larga guerra irak afganistan actualidad siguen afectadas conflictos violentos fuente afp,2018-09-09,"Estados Unidos, Nueva York",Peru21,https://elcomercio.pe/mundo/eeuu/nueva-york-reabren-estacion-metro-destruida-atentados-11-s-noticia-nndc-555639-noticia/,nueva york reabren estacion metro destruida atentados s,estacion cortlandt street quedo sepultada escombros edificios workd trade center vinieron abajo despues ser impactados aviones secuestrados qaeda,EEUU,nueva york set afp estacion metro nueva york unidos completamente destruida atentados septiembre reabierta fin semana dias aniversario tragico ataque torres gemelas estacion cortlandt street linea quedo sepultada escombros edificios world trade center quedaban encima vinieron abajo despues ser impactados aviones secuestrados qaeda medio aplausos gritos alegria neoyorquinos pudieron sabado utilizar primera vez aquel septiembre estacion rebautizada wtc cortlandt wtc cortlandt mas estacion metro afirmo joe lhota presidente autoridad transporte metropolitano entidad comenzo reconstruccion segun diario the times simbolo determinacion neoyorquinos rehacer vida mejorar lugar world trade center conjunto agrego atentados causaron muerte cerca personas mayoria manhattan derivaron larga guerra irak afganistan actualidad siguen afectadas conflictos violentos fuente afp,2018-09-09,"Estados Unidos, Nueva York",Comercio
